-1.83848333	216.78278889	0.94518438	57.34499375	212759.28777500	
-1.81062708	210.44349722	0.92793750	55.36708750	199488.26305000	
-1.63618958	172.15006389	0.90957500	53.32448750	186426.61835000	
-1.80294792	209.13699722	0.88106875	50.29683750	168194.05605000	
-1.53374792	151.84375278	0.85241563	47.31248125	150955.16852500	
-1.70599167	187.93016111	0.80679062	42.97951875	128582.47927500	
-1.29430833	109.21891667	0.75529688	38.45621875	107644.67057500	
-0.97935208	63.73008611	0.68978125	33.29152500	86623.96830000	
-1.33919792	117.14561389	0.63281250	28.85531250	69154.48095000	
-1.34818125	118.64103611	0.57318125	24.56463750	54310.73895000	
-0.61555417	26.29786111	0.49623750	19.41506250	37714.50555000	
-0.99888958	65.82819167	0.45351250	16.92861250	31192.65655000	
-0.81338125	44.00359167	0.40504375	13.95003750	22841.59035000	
-0.74026042	36.49934167	0.36336875	11.61152500	17216.84860000	
-0.50469583	17.50260000	0.32327500	9.56223750	12674.58345000	
-0.44498750	13.68962222	0.30476875	8.48208750	10114.25175000	
-0.43172917	12.86205000	0.28775625	7.63172500	8485.60630000	
-0.45649792	14.18858611	0.26563750	6.69742500	6892.59270000	
-0.30261250	6.64727778	0.25537500	6.15902500	5959.88860000	
-0.43551875	12.82076389	0.23959688	5.46640625	4762.41792500
