-1.99999600	3999.98401600	0.99999800	999.99600400	999992023.96801591	
-1.98929200	3957.32812978	0.99453800	989.11812400	978403158.18865597	
-1.77717333	3158.83645867	0.94555000	894.24165200	800296756.21736002	
-1.30386400	1702.53177956	0.74968000	564.23950400	323226583.74540800	
-0.53451467	286.46382578	0.09904000	16.64339200	928970.15795200	
-0.35937867	129.68856533	0.06502200	6.55626800	123420.70136000	
-0.32026667	103.01526756	0.04817400	3.59762800	37403.54334400	
-0.28330800	80.69795022	0.04183800	2.80981200	25644.56635200	
-0.24282933	59.33791289	0.03950400	2.46666400	17797.20188800	
-0.19110267	36.90357511	0.03721600	2.18384000	14380.92262400	
