-1.99995136	62496.95703125	0.99998784	15624.61914062	3814511607808.00000000	-0.00390625	-0.00097656	0.66666663	1.00000000	
-1.99874592	62421.65625000	0.99968547	15615.17382812	3809901543424.00000000	0.00856370	0.00142728	0.66666663	1.36842108	
-1.99160612	61976.55859375	0.99787992	15558.82226562	3782457163776.00000000	0.04273201	0.00224905	0.66666627	1.73684216	
-1.97045517	60667.34765625	0.99243218	15389.41796875	3700551581696.00000000	0.12617187	0.00788574	0.66666508	2.10526323	
-1.92583740	57951.41796875	0.98058438	15024.19921875	3527022215168.00000000	0.26055518	0.01934425	0.66666245	2.47368431	
-1.84905219	53423.29296875	0.95919299	14375.92675781	3229289021440.00000000	0.53327543	0.04466869	0.66665506	2.84210539	
-1.72920322	46723.61328125	0.92343843	13324.30371094	2774235873280.00000000	0.81518960	0.08212731	0.66664028	3.21052623	
-1.55698490	37883.16406250	0.86644453	11730.74023438	2150632390656.00000000	1.39924181	0.18036248	0.66659349	3.57894731	
-1.31630766	27080.19531250	0.77281952	9333.54882812	1362057232384.00000000	1.84705734	0.38445312	0.66645038	3.94736838	
-0.97850543	14973.81054688	0.59198803	5483.07763672	472239177728.00000000	3.08098340	1.69119203	0.66490185	4.31578922	
-0.58065373	5273.05859375	0.05848083	83.97326660	324360480.00000000	1.05740869	6.51884508	0.01869380	4.68421078	
-0.49234730	3790.62036133	0.02849722	19.84533882	17527516.00000000	0.59945172	1.41637313	0.05057198	5.05263138	
-0.43605042	2973.49291992	0.02027245	9.74965096	4114217.00000000	0.47147822	0.61394209	0.07664704	5.42105246	
-0.39525777	2443.30639648	0.01702259	7.09073019	2301608.25000000	0.38568449	0.44271651	0.02341914	5.78947353	
-0.36291480	2060.06860352	0.01502867	5.47724581	1343658.12500000	0.34825721	0.31636927	0.04451680	6.15789461	
-0.33602679	1766.16296387	0.01337408	4.37831020	913302.06250000	0.28832713	0.24263747	-0.01638937	6.52631569	
-0.31365144	1538.92187500	0.01257901	3.89751029	703439.06250000	0.25783581	0.20670027	0.01210523	6.89473677	
-0.29383621	1350.72485352	0.01193837	3.45160437	544854.43750000	0.22947980	0.16861217	0.02434289	7.26315784	
-0.27676553	1198.52929688	0.01154099	3.21238041	474011.46875000	0.21849744	0.14822841	0.02007318	7.63157892	
-0.26165289	1071.32678223	0.01064269	2.81418610	361785.68750000	0.20054626	0.13054904	0.02544928	8.00000000	
